symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
NOW,2024-12-31,212.02,205834000,43640924680,2304000000,2278000000,43614924680
NOW,2023-12-31,141.3,204137000,28844558100,1897000000,2284000000,29231558100
NOW,2022-12-31,77.65,201430000,15641039500,1470000000,2232000000,16403039500
NOW,2021-12-31,129.82,198094000,25716563080,1728000000,2214000000,26202563080
NOW,2020-12-31,110.09,193096000,21257938640,1677000000,2135000000,21715938640
NOW,2019-12-31,56.46,186466000,10527870360,775778000,1130870000,10882962360
NOW,2018-12-31,35.61,177846023,6333096879,566204000,661707000,6428599879
NOW,2017-12-31,26.35,171175577,4510476453,726495000,1173436000,4957417453
NOW,2016-12-31,14.87,164533823,2446617948,401238000,507812000,2553191948
NOW,2015-12-31,17.31,155706643,2695281990,412305000,474534000,2757510990
NOW,2014-12-31,13.57,145355543,1972474718,252455000,443437000,2163456718
NOW,2013-12-31,11.2,135415809,1516657060,366303000,414777000,1565131060
NOW,2012-12-31,6.01,126891342,762616965,118989000,0,643627965
NOW,2011-12-31,4.92,113429108,558071211,68088000,0,489983211
NOW,2010-12-31,4.92,120300000,591876000,59853000,0,532023000
NOW,2009-06-30,4.92,120300000,591876000,0,0,591876000
NOW,2008-06-30,4.92,120300000,591876000,0,0,591876000
NOW,2007-06-30,4.92,120300000,591876000,0,0,591876000
