date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,change,vwap,changeOverTime,adjClose,volume,high,low,close,changePercent,unadjustedVolume,open
2026-02-27,"February 27, 26",0.08,0.08,2026-02-27,2026-03-16,2025-12-09,,,,,,,,,,,
2026-01-02,"January 02, 26",,,,,,3.29,83.65,0.0403,84.98,1221100,86.32,81.61,84.98,4.03,1221100,81.69
2025-12-31,"December 31, 25",,,,,,-2.44,82.8475,-0.029,81.65,1098043,84.09,81.56,81.65,-2.9,1098043,84.09
2025-12-30,"December 30, 25",,,,,,-0.1,84.15,-0.0011889,84.01,1142943,85,83.48,84.01,-0.11889,1142943,84.11
2025-12-29,"December 29, 25",,,,,,-0.41,83.7425,-0.004881,83.59,1117700,84.38,83,83.59,-0.4881,1117700,84
2025-12-26,"December 26, 25",,,,,,0.58,83.94,0.0069353,84.21,851200,84.43,83.47,84.21,0.69353,851200,83.63
2025-12-24,"December 24, 25",,,,,,0,83.2725,0,83.37,637046,83.64,82.71,83.37,0,637046,83.37
2025-12-23,"December 23, 25",,,,,,1.63,82.275,0.02,83.17,1244138,83.26,81.13,83.17,2,1244138,81.54
2025-12-22,"December 22, 25",,,,,,0.93,81.5325,0.0115,81.89,1723531,82.73,80.55,81.89,1.15,1723531,80.96
2025-12-19,"December 19, 25",,,,,,0.33,79.0625,0.0041577,79.7,6553346,80,77.18,79.7,0.41577,6553346,79.37
2025-12-18,"December 18, 25",,,,,,0.71,78.95,0.0090654,79.03,2565737,80.69,77.76,79.03,0.90654,2565737,78.32
2025-12-17,"December 17, 25",,,,,,-2.67,77.46,-0.0338,76.26,2017500,78.98,75.67,76.26,-3.38,2017500,78.93
2025-12-16,"December 16, 25",,,,,,2,77.5675,0.0261,78.5,2971700,79.13,76.14,78.5,2.61,2971700,76.5
2025-12-15,"December 15, 25",,,,,,-3.02,78.165,-0.0379,76.63,2338487,80.72,75.66,76.63,-3.79,2338487,79.65
2025-12-12,"December 12, 25",,,,,,-5.44,81.56,-0.0645,78.94,2778583,84.59,78.35,78.94,-6.45,2778583,84.38
2025-12-11,"December 11, 25",,,,,,-0.96,85.0775,-0.0112,84.8,2563539,86.24,83.51,84.8,-1.12,2563539,85.76
2025-12-10,"December 10, 25",,,,,,2.41,85.1675,0.0288,86.2,2396827,87.95,82.73,86.2,2.88,2396827,83.79
2025-12-09,"December 09, 25",,,,,,1.09,84.51,0.013,85.09,1405026,85.23,83.72,85.09,1.3,1405026,84
2025-12-08,"December 08, 25",,,,,,2.35,83.19,0.0287,84.3,1653000,84.69,81.82,84.3,2.87,1653000,81.95
2025-12-05,"December 05, 25",,,,,,-1.37,82.78,-0.0164,82.04,1980350,83.85,81.82,82.04,-1.64,1980350,83.41
2025-12-04,"December 04, 25",,,,,,3.46,81.71,0.0432,83.46,1826354,83.57,79.81,83.46,4.32,1826354,80
2025-12-03,"December 03, 25",,,,,,0.31,80.05,0.0038765,80.28,1244700,81.05,78.9,80.28,0.38765,1244700,79.97
2025-12-02,"December 02, 25",,,,,,1.58,79.095,0.0202,79.75,2182128,80.49,77.97,79.75,2.02,2182128,78.17
2025-12-01,"December 01, 25",,,,,,-1.4,78.7775,-0.0177,77.6,1622241,81.09,77.42,77.6,-1.77,1622241,79
2025-11-28,"November 28, 25",0.06,0.06,2025-11-28,2025-12-15,2025-11-12,1.81,80.225,0.0228,81.09,947312,81.25,79.28,81.09,2.28,947312,79.28
2025-11-26,"November 26, 25",,,,,,1.28,78.73,0.0164,79.17,2235053,80.74,77,79.23,1.64,2235053,77.95
2025-11-25,"November 25, 25",,,,,,5.01,75.7525,0.0686,77.95,3033500,79.06,72.94,78.01,6.86,3033500,73
2025-11-24,"November 24, 25",,,,,,-2.8,74.8575,-0.0367,73.48,5002100,76.74,72.81,73.54,-3.67,5002100,76.34
2025-11-21,"November 21, 25",,,,,,0.83,75.4825,0.0111,75.74,2736147,77.94,73.22,75.8,1.11,2736147,74.97
2025-11-20,"November 20, 25",,,,,,-7.11,78.7275,-0.0867,74.84,3072505,83.5,74.5,74.9,-8.67,3072505,82.01
2025-11-19,"November 19, 25",,,,,,0.49,78.695,0.0061923,79.56,3325417,80.31,75.72,79.62,0.61923,3325417,79.13
2025-11-18,"November 18, 25",,,,,,-0.52,79.63,-0.0065409,78.92,3116936,82.03,78.01,78.98,-0.65409,3116936,79.5
2025-11-17,"November 17, 25",,,,,,-0.17,81.5975,-0.0020826,81.4,2504885,84.1,79.2,81.46,-0.20826,2504885,81.63
2025-11-14,"November 14, 25",,,,,,-0.67,84.075,-0.007962,83.42,2466317,87.05,81.62,83.48,-0.7962,2466317,84.15
2025-11-13,"November 13, 25",,,,,,-5.6,88.4925,-0.0612,85.83,3926142,91.75,84.82,85.9,-6.12,3926142,91.5
2025-11-12,"November 12, 25",,,,,,-4.71,94.1375,-0.0487,91.89,2740700,96.67,91.25,91.96,-4.87,2740700,96.67
2025-11-11,"November 11, 25",,,,,,-1.92,98.1575,-0.0195,96.46,2492600,102.15,95.5,96.53,-1.95,2492600,98.45
2025-11-10,"November 10, 25",,,,,,1.67,96.13,0.0176,96.53,3220414,99.39,93.6,96.6,1.76,3220414,94.93
2025-11-07,"November 07, 25",,,,,,0.15,92.0375,0.0016276,92.24,3282809,95,88.68,92.31,0.16276,3282809,92.16
2025-11-06,"November 06, 25",,,,,,-6.67,96.9525,-0.0667,93.26,4096204,101.15,93.33,93.33,-6.67,4096204,100
2025-11-05,"November 05, 25",,,,,,-5.36,100.86,-0.051,99.57,7108500,105.4,93.38,99.65,-5.1,7108500,105.01
2025-11-04,"November 04, 25",,,,,,1.41,100.5525,0.0142,100.83,6091300,104,97.8,100.91,1.42,6091300,99.5
2025-11-03,"November 03, 25",,,,,,-1,97.635,-0.0102,96.93,10626224,100.54,95,97,-1.02,10626224,98
2025-10-31,"October 31, 25",,,,,,0,94.345,0,94.93,282542,95.98,91.4,95,0,282542,95
2025-10-30,"October 30, 25",,,,,,-0.7,93.54,-0.0074389,93.33,122600,94.98,91.68,93.4,-0.74389,122600,94.1
2025-10-29,"October 29, 25",,,,,,-0.46,94.3875,-0.0048677,93.97,91700,96.89,92.12,94.04,-0.48677,91700,94.5
2025-10-28,"October 28, 25",,,,,,-4.27,97.565,-0.0431,94.67,172600,103.5,93.01,94.74,-4.31,172600,99.01
2025-10-27,"October 27, 25",,,,,,24.8,84.45,0.3518,95.23,69700,101.52,70.5,95.3,35.18,69700,70.5
